Time	Theta
92.364	86.75118
92.442	86.75489
92.52	86.7553
92.598	86.7536
92.692	86.75491
92.77	86.75404
92.848	86.75677
92.926	86.75726
93.004	86.75848
93.082	86.75775
93.16	86.75938
93.238	86.76056
93.316	86.76106
93.409	86.75774
93.487	86.76148
93.565	86.76043
93.643	86.76216
93.721	86.76401
93.799	86.76436
93.877	86.7642
93.955	86.76404
94.033	86.76584
94.127	86.76645
94.205	86.768
94.283	86.76805
94.361	86.76848
94.439	86.76959
94.517	86.77128
94.61	86.77113
94.688	86.77268
94.766	86.77414
94.86	86.77525
94.938	86.77393
95.016	86.77818
95.11	86.7742
95.188	86.77507
95.266	86.7781
95.344	86.77583
95.422	86.77702
95.5	86.77704
95.593	86.77917
95.671	86.77905
95.749	86.78076
95.827	86.78262
95.905	86.78319
95.983	86.78271
96.061	86.78581
96.139	86.78557
96.217	86.78744
96.311	86.78522
96.389	86.7863
96.467	86.78855
96.56	86.79068
96.638	86.7901
96.716	86.7916
96.81	86.79036
96.888	86.7907
96.966	86.79043
97.06	86.79234
97.122	86.79163
97.2	86.79211
97.294	86.79369
97.372	86.79355
97.45	86.79263
97.543	86.79359
97.621	86.79443
97.699	86.79591
97.777	86.79394
97.855	86.79596
97.933	86.79683
98.011	86.7972
98.089	86.79674
98.167	86.7973
98.245	86.79807
98.323	86.79973
98.401	86.80107
98.479	86.79945
98.557	86.7998
98.635	86.80067
98.729	86.79905
98.807	86.80133
98.885	86.80256
98.963	86.80438
99.041	86.8041
99.119	86.80665
99.197	86.80281
99.275	86.8043
99.353	86.80588
99.446	86.80552
99.524	86.80626
99.602	86.80853
99.68	86.8079
99.758	86.80986
99.836	86.81095
99.93	86.81165
100.008	86.8137
100.086	86.81187
100.164	86.81342
100.242	86.81565
100.32	86.81438
100.398	86.81525
100.476	86.81766
100.554	86.81644
100.647	86.81552
100.725	86.81668
100.803	86.81819
100.897	86.81963
100.975	86.81786
101.053	86.81983
101.147	86.8187
101.225	86.81907
101.303	86.81946
101.381	86.8196
101.459	86.82088
101.537	86.82127
101.63	86.82399
101.708	86.82147
101.786	86.8225
101.864	86.82375
101.942	86.82364
102.02	86.82542
102.098	86.82468
102.147	86.82452
102.256	86.82426
102.35	86.82595
102.428	86.8271
102.506	86.82848
102.584	86.82752
102.662	86.82825
102.74	86.82959
102.833	86.82846
102.911	86.82973
102.989	86.83183
103.083	86.83157
103.161	86.83291
103.239	86.83414
103.333	86.83138
103.396	86.83176
103.491	86.83041
103.569	86.83217
103.647	86.83327
103.725	86.83237
103.818	86.8343
103.896	86.83593
103.974	86.83543
104.068	86.83378
104.146	86.83683
104.224	86.83643
104.302	86.83622
104.38	86.83981
104.458	86.8378
104.536	86.83755
104.614	86.84033
104.692	86.839
104.77	86.8401
104.848	86.84153
104.926	86.8416
105.004	86.84274
105.082	86.8434
105.16	86.84318
105.253	86.84116
105.331	86.84454
105.409	86.84579
105.487	86.84637
105.565	86.84635
105.643	86.84542
105.737	86.84554
105.815	86.84702
105.893	86.84782
105.971	86.84843
106.049	86.8483
106.127	86.85031
106.205	86.8519
106.283	86.85051
106.361	86.853
106.439	86.85304
106.517	86.85207
106.595	86.85316
106.689	86.85419
106.767	86.85191
106.845	86.85455
106.938	86.85445
107.016	86.85525
107.094	86.85725
107.172	86.8577
107.25	86.85633
